Country,Company
Afghanistan,Afghan Wireless
Afghanistan,Afghan Wireless (TSI)
Afghanistan,Aftel
Afghanistan,Etisalat
Afghanistan,Etisalat Afghanistan
Afghanistan,MTN
Afghanistan,MTN Afghanistan
Afghanistan,Roshan
Afghanistan,Roshan (TDCA)
Afghanistan,Salaam (Afghan Telecom)
Afghanistan,Wasel Telecom
Afghanistan,Wasel Telecom (Closed Q4 2018)
Aland Islands,Alcom
Albania,ALBtelecom (antenna Hungaria) (Merged Q1 2023)
Albania,Albtelecom
Albania,Eagle Mobile
Albania,ONE Telecommunications
Albania,One Albania
Albania,One Telecommunication (antenna Hungaria)
Albania,PLUS (Closed Q1 2018)
Albania,Plus Albania
Albania,Vodafone
Albania,Vodafone Albania
Algeria,ATM Mobilis
Algeria,Algérie Télécom
Algeria,Djezzy
Algeria,Mobilis (Algerie Telecom)
Algeria,Ooredoo (NMTC)
Algeria,Ooredoo Algeria
American Samoa,ASTCA
American Samoa,Blue Sky Communications American Samoa
American Samoa,BlueSky Communications (ATH)
Andorra,Andorra Telecom
Angola,Africell (Lintel)
Angola,Africell Angola
Angola,Movicel
Angola,Unitel
Angola,Unitel Angola
Anguilla,Digicel
Anguilla,Digicel Anguilla
Anguilla,Flow (Liberty Latin America)
Anguilla,Flow Anguilla
Anguilla,Weblinks (Closed Q3 2012)
Antigua & Barbuda,APUA
Antigua & Barbuda,Digicel Antigua
Antigua & Barbuda,Flow Antigua & Barbuda
Antigua and Barbuda,Digicel
Antigua and Barbuda,Flow (Liberty Latin America)
Antigua and Barbuda,inet (APUA)
Argentina,BellSouth (Merged Q1 2005)
Argentina,CRM
Argentina,CTI Holdings
Argentina,Cablevision (Merged Q1 2018)
Argentina,Claro (America Movil)
Argentina,Claro Argentina
Argentina,DirecTV
Argentina,Imowi
Argentina,Miniphone
Argentina,Movistar (Telefonica)
Argentina,Movistar Argentina
Argentina,Nextel (Cablevision) (Merged Q1 2018)
Argentina,Nextel Argentina
Argentina,Nuestro
Argentina,Other
Argentina,Personal
Argentina,Personal (Telecom Argentina)
Argentina,TCP
Argentina,Telecentro
Argentina,Telecom Argentina
Argentina,Telmax (Claro)
Armenia,Karabakh Telecom; Nagorno-Karabakh
Armenia,Team Telecom Armenia
Armenia,UCom Armenia
Armenia,Ucom
Armenia,Viva
Armenia,VivaCell-MTS
Armenia,team Telecom Armenia
Aruba,Digicel
Aruba,Digicel Aruba
Aruba,MIO (Closed Q3 2017)
Aruba,SETAR
Australia,3 Australia
Australia,AAPT
Australia,ALDImobile
Australia,Amaysim
Australia,Austar (Merged Q2 2012)
Australia,Dodo
Australia,Foxtel (Telstra)
Australia,Hutchison Australia
Australia,Iinet
Australia,One.Tel Australia
Australia,Optus
Australia,Optus (Singtel)
Australia,Other
Australia,People Telecom
Australia,TPG
Australia,TPG Telecom Australia
Australia,Telstra
Australia,VHA
Australia,VHA Holding
Australia,Virgin Mobile Australia
Australia,Vocus Communications
Australia,Vodafone (Merged Q2 2009)
Australia,Vodafone (TPG Telecom)
Australia,iPrimus
Australia,iiNet (TPG) (Merged Q3 2015)
Austria,3 (CK Hutchison)
Austria,3 Austria
Austria,A1 (Telekom Austria)
Austria,A1 Telekom
Austria,A1 Telekom Austria
Austria,Connect Austria
Austria,HD Austria
Austria,Hot Austria
Austria,Hutchison Drei
Austria,LIWEST
Austria,Magenta
Austria,Magenta Telekom
Austria,Magenta Telekom (Deutsche Telekom)
Austria,ONE Austria
Austria,Orange (Merged Q1 2013)
Austria,Orange Austria
Austria,Other
Austria,Salzburg AG
Austria,Sky Austria
Austria,Spusu
Austria,Tele.ring (Merged Q2 2006)
Austria,Tele2 (Merged Q4 2017)
Austria,Tele2 Austria
Austria,UPC (Liberty Global) (Merged Q3 2018)
Austria,UPC Austria
Austria,YESSS!
Austria,eety
Austria,max.mobil
Austria,tele.ring
Azerbaijan,Azercell
Azerbaijan,Azercell (Azintelecom)
Azerbaijan,Azerfon
Azerbaijan,Bakcell
Azerbaijan,Catel
Azerbaijan,Fonex (Catel) (Closed Q2 2011)
Azerbaijan,Nar (Azerfon)
Azerbaijan,Naxtel; Nakhchivan
Bahamas,ALIV
Bahamas,BTC
Bahamas,BTC Bahamas
Bahrain,Batelco
Bahrain,STC
Bahrain,STC Bahrain
Bahrain,Zain
Bahrain,Zain Bahrain
Bangladesh,Airtel (Bharti Airtel) (Merged Q4 2016)
Bangladesh,Airtel Bangladesh
Bangladesh,Banglalink
Bangladesh,Banglalion Communications (Closed Q3 2021)
Bangladesh,Citycell
Bangladesh,Citycell (Pacific Bangladesh) (Closed Q4 2016)
Bangladesh,Grameenphone
Bangladesh,Grameenphone (Telenor)
Bangladesh,Ollo (BIEL) (Closed Q1 2019)
Bangladesh,QUBEE (Augere) (Closed Q4 2018)
Bangladesh,Robi (Axiata)
Bangladesh,Robi Axiata
Bangladesh,Sheba Telecom
Bangladesh,TM International Bangladesh
Bangladesh,Teletalk
Bangladesh,Warid Telecom Bangladesh
Bangladesh,banglalink (VEON)
Barbados,Cingular (Merged Q4 2005)
Barbados,Digicel
Barbados,Digicel Barbados
Barbados,Flow (Liberty Latin America)
Barbados,Flow Barbados
Barbados,Ozone (Closed Q3 2019)
Belarus,A1 (A1 Telekom Austria)
Belarus,A1 Belarus
Belarus,BeST
Belarus,Belcel
Belarus,Diallog (Belcel) (Closed Q1 2014)
Belarus,MTS
Belarus,MTS Belarus
Belarus,Yota (Scartel) (Closed Q2 2012)
Belarus,Yota Bel
Belarus,life:) (Turkcell)
Belgium,BASE (Telenet)
Belgium,KPN Group Belgium
Belgium,Lycamobile Belgium
Belgium,Mobisud Belgium
